stockorg_code,sku_code,dt,begin_stock_qty,demand_qty,production_qty,trans_in_qty,trans_out_qty,safety_stock_qty,todo_qty,end_stock_qty
warehouse.WHC,31015580008000000,2024-04-01,28.377,0.000,0.000,0.000,0.000,0.000,0.000,28.377
warehouse.HBA,31010010139000002,2024-04-01,80.733,0.000,0.000,0.000,0.000,0.000,0.000,80.733
warehouse.WHC,31010310033000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.BZC,31010051995230054,2024-04-01,0.000,897.450,897.450,0.000,0.000,0.000,897.450,0.000
warehouse.LSA,31728040001000000,2024-04-01,11.000,19.800,0.000,8.800,0.000,0.000,0.000,0.000
warehouse.GDC,31716450002000000,2024-04-01,119.759,120.110,0.000,103.658,0.000,0.000,0.000,103.306
warehouse.CZC,31A10000002000000,2024-04-01,6.955,0.000,0.000,0.000,0.000,0.000,0.000,6.955
warehouse.SHC,31015580001000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31015830017162400,2024-04-01,24.303,15.450,0.000,0.000,0.000,0.000,0.000,8.853
warehouse.BBD,31455370004000000,2024-04-01,15.381,4.600,0.000,0.000,0.000,0.000,0.000,10.781
warehouse.NJD,31010020002000000,2024-04-01,2.270,10.090,0.000,7.820,0.000,0.000,0.000,0.000
warehouse.CZC,31010198337000000,2024-04-01,0.000,2.000,0.000,2.000,0.000,0.000,0.000,0.000
warehouse.HNA,31010647748150102,2024-04-01,3.744,8.100,0.000,4.356,0.000,0.000,0.000,0.000
warehouse.SHC,31011836105000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.MYA,31013080058000000,2024-04-01,20.286,50.320,0.000,41.153,0.000,0.000,0.000,11.119
warehouse.HBA,31710000004000000,2024-04-01,31.682,55.082,0.000,77.530,0.000,0.000,0.000,54.129
warehouse.GAA,31010060007000000,2024-04-01,19.392,120.190,0.000,115.553,0.000,0.000,0.000,14.754
warehouse.YCF,31010010011000000,2024-04-01,42.625,20.000,0.000,0.000,0.000,0.000,0.000,22.625
warehouse.WZC,31010056426000005,2024-04-01,68.140,0.000,0.000,0.000,0.000,0.000,0.000,68.140
warehouse.QJC,31A10000015000000,2024-04-01,2.190,0.000,0.000,0.000,0.000,0.000,0.000,2.190
warehouse.DLC,31010240015000000,2024-04-01,1.260,0.000,0.000,0.000,0.000,0.000,0.000,1.260
warehouse.WHC,31016400008000000,2024-04-01,6.731,8.370,8.370,0.000,48.377,0.000,50.016,0.000
warehouse.WHC,31010647748000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.FJX,31710001654000000,2024-04-01,287.280,0.000,0.000,0.000,0.000,0.000,0.000,287.280
warehouse.LAC,31010210055000000,2024-04-01,14.954,231.690,231.690,0.000,117.839,0.000,334.575,0.000
warehouse.XAF,31716450013000000,2024-04-01,4.866,8.080,0.000,7.714,0.000,0.000,0.000,4.500
warehouse.SHC,31A40000002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31010058895000000,2024-04-01,48.184,22.770,22.770,0.000,0.000,0.000,0.000,25.414
warehouse.HEP,31220003875000000,2024-04-01,7.886,1.550,1.550,0.000,0.000,0.000,0.000,6.336
warehouse.SHC,31010080017000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.HBA,31010057735000000,2024-04-01,111.300,300.020,300.020,0.000,34.800,0.000,223.520,0.000
warehouse.WHC,31012150002150100,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.XDF,31015990002000000,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.QNC,31015830036000000,2024-04-01,0.150,28.730,0.000,28.580,0.000,0.000,0.000,0.000
warehouse.YCF,31017211296000000,2024-04-01,34.898,5.600,0.000,0.000,0.000,0.000,0.000,29.298
warehouse.JSA,31716450017000000,2024-04-01,552.316,920.790,920.790,0.000,670.186,0.000,1038.661,0.000
warehouse.SHC,31010050005120009,2024-04-01,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
warehouse.SXX,31716450006000000,2024-04-01,88.775,15.160,0.000,0.000,0.000,0.000,0.000,73.615
warehouse.SZC,31716450008000000,2024-04-01,110.036,90.660,0.000,195.946,0.000,0.000,0.000,215.323
